date,shop_name,daily_sales
2022-10-21,宅栽工作室,13519.0
2022-10-22,宅栽工作室,3277.0
2022-10-23,宅栽工作室,4948.0
2022-10-24,宅栽工作室,4260.0
2022-10-25,宅栽工作室,4987.0
2022-10-26,宅栽工作室,5199.0
2022-10-27,宅栽工作室,6913.0
2022-10-28,宅栽工作室,8001.0
2022-10-29,宅栽工作室,2340.0
2022-10-30,宅栽工作室,4872.0
2022-10-31,宅栽工作室,6079.0
2022-11-01,宅栽工作室,8367.0
2022-11-02,宅栽工作室,4900.0
2022-11-03,宅栽工作室,9607.0
2022-11-04,宅栽工作室,8717.0
2022-11-05,宅栽工作室,6720.0
2022-11-06,宅栽工作室,8679.0
2022-11-07,宅栽工作室,7499.0
2022-11-08,宅栽工作室,1750.0
2022-11-09,宅栽工作室,8397.0
2022-11-10,宅栽工作室,6290.0
2022-11-11,宅栽工作室,42111.0
2022-11-12,宅栽工作室,17160.0
2022-11-13,宅栽工作室,17244.0
2022-11-14,宅栽工作室,3820.0
2022-11-15,宅栽工作室,14996.0
2022-11-16,宅栽工作室,4318.0
2022-11-17,宅栽工作室,10458.0
2022-11-18,宅栽工作室,9303.0
2022-11-19,宅栽工作室,3700.0
2022-11-20,宅栽工作室,11066.0
2022-11-21,宅栽工作室,6710.0
2022-11-22,宅栽工作室,1239.0
2022-11-23,宅栽工作室,4328.0
2022-11-24,宅栽工作室,5849.0
2022-11-25,宅栽工作室,14121.0
2022-11-26,宅栽工作室,4264.0
2022-11-27,宅栽工作室,7740.0
2022-11-28,宅栽工作室,13550.0
2022-11-29,宅栽工作室,9838.0
2022-11-30,宅栽工作室,7259.0
2022-12-01,宅栽工作室,15480.0
2022-12-02,宅栽工作室,553.0
2022-12-03,宅栽工作室,2100.0
2022-12-04,宅栽工作室,10842.0
2022-12-05,宅栽工作室,9533.0
2022-12-06,宅栽工作室,11239.0
2022-12-07,宅栽工作室,7285.0
2022-12-08,宅栽工作室,5616.0
2022-12-09,宅栽工作室,2687.0
2022-12-10,宅栽工作室,2580.0
2022-12-11,宅栽工作室,1270.0
2022-12-12,宅栽工作室,22857.0
2022-12-13,宅栽工作室,4000.0
2022-12-14,宅栽工作室,5161.0
2022-12-15,宅栽工作室,1750.0
2022-12-16,宅栽工作室,8017.0
2022-12-17,宅栽工作室,3870.0
2022-12-18,宅栽工作室,8447.0
2022-12-19,宅栽工作室,9623.0
2022-12-20,宅栽工作室,10570.0
2022-12-21,宅栽工作室,3838.0
2022-12-22,宅栽工作室,3715.0
2022-12-23,宅栽工作室,3860.0
2022-12-24,宅栽工作室,5786.0
2022-12-25,宅栽工作室,4281.0
2022-12-26,宅栽工作室,7316.0
2022-12-27,宅栽工作室,5094.0
2022-12-28,宅栽工作室,3453.0
2022-12-29,宅栽工作室,3140.0
2022-12-30,宅栽工作室,3229.0
2022-12-31,宅栽工作室,2036.0
2023-01-01,宅栽工作室,5518.0
2023-01-02,宅栽工作室,4010.0
2023-01-03,宅栽工作室,5728.0
2023-01-04,宅栽工作室,5481.0
2023-01-05,宅栽工作室,5949.0
2023-01-06,宅栽工作室,7450.0
2023-01-07,宅栽工作室,5197.0
2023-01-08,宅栽工作室,4943.0
2023-01-09,宅栽工作室,6336.0
2023-01-10,宅栽工作室,2863.0
2023-01-11,宅栽工作室,13180.0
2023-01-12,宅栽工作室,4358.0
2023-01-13,宅栽工作室,4683.0
2023-01-14,宅栽工作室,2797.0
2023-01-15,宅栽工作室,5896.0
2023-01-16,宅栽工作室,8126.0
2023-01-17,宅栽工作室,1200.0
2023-01-18,宅栽工作室,2230.0
2023-01-19,宅栽工作室,2100.0
2023-01-20,宅栽工作室,1286.0
2023-01-21,宅栽工作室,10290.0
2023-01-22,宅栽工作室,1510.0
2023-01-23,宅栽工作室,4961.0
2023-01-24,宅栽工作室,2719.0
2023-01-25,宅栽工作室,4504.0
2023-01-26,宅栽工作室,3120.0
2023-01-27,宅栽工作室,2468.0
2023-01-28,宅栽工作室,5298.0
2023-01-29,宅栽工作室,5309.0
2023-01-30,宅栽工作室,3410.0
2023-01-31,宅栽工作室,1570.0
2023-02-01,宅栽工作室,2280.0
2023-02-02,宅栽工作室,15446.0
2023-02-03,宅栽工作室,9278.0
2023-02-04,宅栽工作室,5623.0
2023-02-05,宅栽工作室,4828.0
2023-02-06,宅栽工作室,4117.0
2023-02-07,宅栽工作室,4255.0
2023-02-08,宅栽工作室,7328.0
2023-02-09,宅栽工作室,6574.0
2023-02-10,宅栽工作室,6978.0
2023-02-11,宅栽工作室,7328.0
2023-02-12,宅栽工作室,7011.0
2023-02-13,宅栽工作室,13417.0
2023-02-14,宅栽工作室,9739.0
2023-02-15,宅栽工作室,12037.0
2023-02-16,宅栽工作室,10907.0
2023-02-17,宅栽工作室,5386.0
2023-02-18,宅栽工作室,11390.0
2023-02-19,宅栽工作室,7836.0
2023-02-20,宅栽工作室,7487.0
2023-02-21,宅栽工作室,7367.0
2023-02-22,宅栽工作室,7878.0
2023-02-23,宅栽工作室,3670.0
2023-02-24,宅栽工作室,11430.0
2023-02-25,宅栽工作室,6925.0
2023-02-26,宅栽工作室,6360.0
2023-02-27,宅栽工作室,5227.0
2023-02-28,宅栽工作室,6560.0
2023-03-01,宅栽工作室,4530.0
2023-03-02,宅栽工作室,18345.0
2023-03-03,宅栽工作室,22216.0
2023-03-04,宅栽工作室,5430.0
2023-03-05,宅栽工作室,4412.0
2023-03-06,宅栽工作室,6828.0
2023-03-07,宅栽工作室,7310.0
2023-03-08,宅栽工作室,3177.0
2023-03-09,宅栽工作室,1551.0
2023-03-10,宅栽工作室,2900.0
2023-03-11,宅栽工作室,6159.0
2023-03-12,宅栽工作室,6276.0
2023-03-13,宅栽工作室,4910.0
2023-03-14,宅栽工作室,3740.0
2023-03-15,宅栽工作室,6390.0
2023-03-16,宅栽工作室,6017.0
2023-03-17,宅栽工作室,870.0
2023-03-18,宅栽工作室,9354.0
2023-03-19,宅栽工作室,6099.0
2023-03-20,宅栽工作室,3470.0
2023-03-21,宅栽工作室,5570.0
2023-03-22,宅栽工作室,9872.0
2023-03-23,宅栽工作室,4470.0
2023-03-24,宅栽工作室,8998.0
2023-03-25,宅栽工作室,19822.0
2023-03-26,宅栽工作室,11264.0
2023-03-27,宅栽工作室,25196.0
2023-03-28,宅栽工作室,5780.0
2023-03-29,宅栽工作室,13438.0
2023-03-30,宅栽工作室,3090.0
2023-03-31,宅栽工作室,4977.0
